year;y;I;S;N;T;L;Š_nom;def;K
2010;30439,98224;362813,6637;248488,78;3317230;107325965,3;1710931;195118,6;111;355190,8084
2011;30960,21971;392393,5808;180212,3128;3300620;134085366,6;1700551;225850,6;110,4;372404,7594
2012;34817,96669;413492,4501;220150,943;3288397;138027931,7;1703184;260420,6;105,3;407794,0999
2013;36552,19033;416549,373;85236,3889;3277386;138270260,7;1685561;283422,2;107,7;412082,1135
2014;37456,42552;394353,9713;137799,8826;3264280;136962120,6;1677717;278550,1;106;382073,8837
2015;36022,87671;295824,4;240601,0575;3250563;129108771,6;1650865;242524,9;113,4;293350,825
2016;34112,1705;268115,0248;183965,5474;3236317;136127517,4;1644853;232010;103,9;270098,4775
2017;33042,85888;272797,1256;109262,5247;3220481;136759921,9;1658665;245268;106,1;269116,8792
2018;33056,21311;280922,619;63803,85816;3200781;147652596,4;1633103;259393;105,2;270546,899
2019;34163,1;295252;73963,9;3181635;151 463 604;1634481;295252;104,3;295252
2020;32867,66306;344676,5799;118649,947;3159332;149266995,1;1603566;370872;102,3;362533,7243
2021;34123,94183;344916,6439;60848,05838;3126706;162804594;1637860;384491;111,4;337384,6767
2022;36194,27505;352213,9096;134537,344;3095367;157224741,4;1639913;467617;115,6;354953,6388
2023;37932,15954;481304,8423;53799,04692;3071076;214080331,1;1667222,0;664499;106,1;475401,217
