year;y;I;S;N;T;L;ä_nom;def;K_form;K
2010;30439.9822385858;362813.663684306;248488.780015289;3317230;107325965.261694;1710931;195118.6;111;#áçÄó!;355190.808390357
2011;30960.2197131045;392393.580838774;180212.312846627;3300620;134085366.594307;1700551;225850.6;110.4;#áçÄó!;372404.759363261
2012;34817.9666905058;413492.450125853;220150.943016739;3288397;138027931.671854;1703184;260420.6;105.3;#áçÄó!;407794.099916823
2013;36552.1903324207;416549.372985194;85236.3888994885;3277386;138270260.666558;1685561;283422.2;107.7;#áçÄó!;412082.113544544
2014;37456.4255182264;394353.971297512;137799.882589353;3264280;136962120.646816;1677717;278550.1;106;#áçÄó!;382073.883747925
2015;36022.8767120376;295824.399965331;240601.057510847;3250563;129108771.621908;1650865;242524.9;113.4;#áçÄó!;293350.824968789
2016;34112.1705042328;268115.02475199;183965.547363098;3236317;136127517.391005;1644853;232010;103.9;#áçÄó!;270098.47754596
2017;33042.8588773985;272797.125588;109262.524749448;3220481;136759921.864804;1658665;245268;106.1;#áçÄó!;269116.879248
2018;33056.213108996;280922.619;63803.85816;3200781;147652596.427;1633103;259393;105.2;#áçÄó!;270546.899
2019;34163.1446;295252;73963.9;3181635;151 463 604;1634481;295252;104.3;295252;295252
2020;32867.6630595937;344676.579925651;118649.947049196;3159332;149266995.112414;1603566;370872;102.3;#áçÄó!;362533.724340176
2021;34123.941830741;344916.643940808;60848.058376508;3126706;162804593.979407;1637860;384491;111.4;#áçÄó!;337384.676673493
2022;36194.2750535789;352213.909633403;134537.344049628;3095367;157224741.380434;1639913;467617;115.6;#áçÄó!;354953.638819316
2023;37932.159540168;481304.842338871;53799.0469184124;3071076;214080331.102183;1667221.998;664499;106.1;#áçÄó!;475401.217015368
